text,category
"No electricity in my hostel room since last night.",Electricity
"Frequent power cuts in the boys hostel block C.",Electricity
"Voltage fluctuations have damaged my laptop charger.",Electricity
"The exposed wiring near the staircase is dangerous.",Electricity
"Streetlights outside the library are not working.",Electricity
"Electric geyser in the bathroom isn't heating water.",Electricity
"MCB keeps tripping every time I switch on the heater.",Electricity
"Power backup generator did not start during the outage.",Electricity
"There was a sudden electric shock from the switchboard.",Electricity
"Ceiling fan in room 204 sparks when switched on.",Electricity
"The electricity meter reading seems incorrect this month.",Electricity
"Transformer near the main gate made a loud sound and stopped working.",Electricity
"No power supply to the charging points in the common room.",Electricity
"Faulty electrical panel in the library causing flickering lights.",Electricity
"Exam hall lights kept flickering during the test.",Electricity
"Power cut happened right in the middle of my online exam.",Electricity
"UPS backup in the server room is not functioning.",Electricity
"Extension cord in my room is overloaded and heats up.",Electricity
"Electric pole near the hostel gate looks damaged and unsafe.",Electricity
"Live wire is exposed near the garden area.",Electricity
"Delayed restoration of power after yesterday's outage.",Electricity
"Tube light in the corridor keeps flickering constantly.",Electricity
"Electricity bill charged seems higher than usual, need clarification.",Electricity
"Inverter in the hostel is not charging properly.",Electricity
"Switchboard in the common bathroom has a burning smell.",Electricity
"Elevator stopped working due to a power failure.",Electricity
"Air conditioner in the seminar hall isn't getting power.",Electricity
"Wiring short circuit caused a small fire in the pantry.",Electricity
"Plug points in my room are completely dead.",Electricity
"Generator fuel ran out during a long power cut.",Electricity
"No water supply in my hostel block since morning.",Water
"Water tank on the terrace appears to be leaking.",Water
"Drinking water from the cooler tastes odd and smells bad.",Water
"Bathroom taps in the third floor washroom are broken.",Water
"Low water pressure makes it hard to shower in the morning.",Water
"Corridor is flooded due to a major pipe burst.",Water
"Water cooler near the canteen has stopped working.",Water
"No hot water available in the bathroom geysers.",Water
"Sink pipe under the washbasin is leaking continuously.",Water
"Water supply timing has become extremely unpredictable.",Water
"RO purifier in the mess is not filtering water properly.",Water
"Water logging near the hostel entrance after rain.",Water
"Overflowing water tank is wasting a lot of water.",Water
"Contaminated water is coming through the tap.",Water
"Water pump in the basement is making a strange noise.",Water
"No water in the washrooms near the academic block.",Water
"Leaking valve is causing water wastage in the garden area.",Water
"Water heater in the girls hostel is not functioning.",Water
"Muddy water is coming out of the tap.",Water
